User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U00001,53,Male,Mumbai,Vivo,Android,3.7,23.9,37.9,104.0,3.9,469.0,5.2,4.1,803.0,Education
,60,Other,Delhi,Realme,iOS,9.2,28.1,13.7,169.0,,4997.0,5.1,0.4,1526.0,Gaming
U00003,37,Female,Ahmedabad,Nokia,Android,4.5,12.3,66.8,96.0,3.0,2381.0,1.7,2.9,1619.0,Entertainment
U00004,32,Male,Pune,Samsung,Android,,25.6,156.2,146.0,5.2,1185.0,3.2,0.3,1560.0,Entertainment
U00005,16,Male,Mumbai,Xiaomi,iOS,2.2,2.5,236.2,86.0,,106.0,3.4,2.3,742.0,Social Media
U00006,21,Male,Jaipur,Oppo,iOS,5.4,10.6,210.6,25.0,,6285.0,0.6,4.8,1749.0,Entertainment
U00007,57,Female,Lucknow,Apple,iOS,,35.2,154.5,123.0,0.8,2653.0,,2.3,1073.0,Social Media
U00008,56,Other,Kolkata,Realme,iOS,3.1,,125.3,188.0,2.3,9767.0,5.2,5.0,1136.0,Entertainment
U00009,46,Female,Kolkata,Oppo,Android,5.3,46.4,,194.0,3.7,2870.0,6.1,2.8,1253.0,Entertainment
U00010,44,Other,Kolkata,Apple,iOS,9.9,10.6,180.2,84.0,4.8,9193.0,,0.4,,Education
U00011,55,Other,Lucknow,Nokia,Android,1.6,23.7,192.0,27.0,3.1,9330.0,1.2,2.3,1098.0,Work
U00012,41,Female,Delhi,Oppo,Android,7.5,,84.9,187.0,0.9,643.0,3.5,2.7,151.0,Social Media
U00013,53,Male,Bangalore,Realme,iOS,10.5,1.4,33.7,137.0,4.5,7854.0,,,,Education
U00014,35,Male,Jaipur,Realme,Android,10.3,32.4,247.1,124.0,5.2,3347.0,3.8,4.5,,Social Media
U00015,33,Female,Jaipur,Samsung,iOS,1.7,33.2,208.8,121.0,3.0,3185.0,4.2,,1046.0,Entertainment
U00016,52,Male,Bangalore,Google Pixel,Android,5.1,28.5,169.2,161.0,4.6,6175.0,4.4,4.3,1769.0,Work
U00017,46,Other,Mumbai,Apple,Android,3.1,23.6,153.9,183.0,2.5,6242.0,6.2,0.4,1679.0,Education
U00018,54,Male,Kolkata,Apple,Android,11.6,12.6,210.4,62.0,4.9,4642.0,0.9,4.1,1360.0,Entertainment
U00019,50,Female,Chennai,Google Pixel,Android,,5.2,235.6,188.0,4.6,1120.0,1.0,0.8,1639.0,Work
U00020,40,Other,Hyderabad,Motorola,iOS,9.0,38.9,289.6,62.0,2.4,8012.0,7.7,2.0,1224.0,Work
U00021,60,Male,Pune,Samsung,iOS,10.4,46.0,38.0,110.0,3.0,,6.8,1.3,311.0,Social Media
U00022,59,Other,Pune,Xiaomi,Android,11.7,9.1,203.9,101.0,5.8,2579.0,2.6,4.1,446.0,Gaming
U00023,46,Other,Chennai,Samsung,Android,8.1,15.5,206.8,77.0,5.9,1776.0,3.4,2.5,899.0,Social Media
U00024,16,Female,Hyderabad,Vivo,Android,1.4,25.5,222.0,,1.6,1119.0,2.8,0.4,1118.0,Gaming
U00025,29,Female,Bangalore,Realme,Android,7.0,41.7,51.0,130.0,1.4,2604.0,3.5,1.6,1154.0,Education
U00026,36,Male,Hyderabad,Vivo,iOS,5.6,47.4,155.4,123.0,,1886.0,2.3,3.0,955.0,Work
U00027,15,Male,Delhi,Vivo,Android,9.2,42.7,230.9,180.0,0.5,4611.0,1.0,2.5,210.0,Gaming
U00028,41,Other,Jaipur,Realme,Android,,44.1,81.8,25.0,1.9,5545.0,5.7,3.7,1488.0,Education
U00029,51,Female,Kolkata,Vivo,iOS,10.7,45.1,94.0,127.0,3.5,2293.0,6.7,5.0,333.0,Education
U00030,45,Female,Hyderabad,Realme,Android,6.3,34.5,244.3,125.0,5.0,,,0.2,1541.0,Entertainment
,39,Female,Jaipur,Motorola,Android,4.0,9.4,194.2,32.0,,,6.7,3.5,447.0,Entertainment
U00032,40,Female,Lucknow,OnePlus,Android,8.4,25.7,262.8,,1.3,3010.0,,3.0,419.0,Education
U00033,28,Female,Chennai,Xiaomi,iOS,,16.8,264.9,84.0,1.3,9222.0,7.2,3.0,1699.0,Social Media
U00034,23,Female,Chennai,Motorola,Android,,48.4,216.8,98.0,3.2,5026.0,2.7,4.9,1079.0,Gaming
U00035,57,Male,Delhi,Vivo,iOS,4.1,31.2,61.5,149.0,5.1,386.0,3.9,1.0,1935.0,Social Media
U00036,23,Female,Ahmedabad,Vivo,iOS,10.7,29.0,9.0,175.0,2.9,633.0,,0.0,1345.0,Social Media
U00037,56,Other,Kolkata,Nokia,Android,9.4,42.1,246.7,113.0,4.9,498.0,0.9,4.3,,Work
,20,Other,Chennai,Samsung,iOS,11.9,45.5,195.8,150.0,4.1,479.0,5.6,1.7,169.0,Education
,22,Other,Kolkata,Google Pixel,Android,1.6,34.1,6.0,153.0,5.8,5175.0,5.7,2.2,805.0,Work
U00040,19,Male,Kolkata,Apple,iOS,5.5,2.9,212.5,129.0,5.6,8514.0,7.9,0.8,647.0,Education
U00041,49,Other,Lucknow,Samsung,iOS,5.2,43.4,151.8,114.0,5.6,3826.0,6.8,3.1,1192.0,Social Media
U00042,54,Male,Ahmedabad,Vivo,iOS,2.2,22.0,30.8,156.0,1.8,8307.0,1.1,,1788.0,Social Media
U00043,40,Male,Bangalore,Vivo,iOS,2.5,10.6,219.1,113.0,1.8,238.0,0.9,2.2,1924.0,Work
U00044,52,Female,Kolkata,Xiaomi,iOS,4.4,33.8,189.3,44.0,3.8,1869.0,3.6,2.4,1382.0,Social Media
U00045,42,Other,Mumbai,Google Pixel,iOS,4.2,3.4,171.6,108.0,3.3,5178.0,1.3,4.8,322.0,Education
U00046,23,Other,Hyderabad,Samsung,iOS,4.3,26.4,210.5,,5.3,1250.0,7.5,0.6,314.0,Entertainment
U00047,51,Other,Mumbai,Samsung,iOS,10.7,,293.4,65.0,5.2,3313.0,1.8,1.3,1319.0,Education
U00048,19,Male,Bangalore,Realme,iOS,3.1,24.8,82.1,75.0,3.9,1396.0,2.0,1.6,1245.0,Social Media
U00049,52,Other,Delhi,Xiaomi,Android,1.5,41.0,95.5,140.0,5.5,8029.0,5.0,0.1,802.0,Social Media
U00050,17,Other,Lucknow,Apple,iOS,4.7,30.4,157.7,187.0,2.6,9189.0,4.3,4.9,801.0,Entertainment
U00051,31,Female,Ahmedabad,Nokia,iOS,10.4,41.1,32.5,171.0,3.5,,,0.8,1833.0,Education
